Infrastructure 	n. 基础设施；公共建设；下部构造
interventional	介入性
spontaneously	adv. 自发地；自然地；不由自主地
causal	adj. 因果关系的；有原因的
dummy	adj. 假的，仿真的
intervened	干涉
stimuli	n. 刺激；刺激物；促进因素（stimulus的复数）
mediator	n. 调停者；传递者；中介物
diagnosis	n. 诊断
focal	adj. 焦点的，在焦点上的；灶的，病灶的
discriminative	adj. 区别的，歧视的；有识别力的
skewed	adj. 歪斜的；曲解的
structural	adj. 结构的；建筑的
asymmetric	adj. 不对称的；非对称的
devising	发明
staging	v. 表演；展现；分阶段进行；筹划（stage的ing形式）
establishes	建立
proofreading	v. 校对（proofread 的现在分词）
incredible	adj. 不能相信的，难以置信的；极好的，极大的
posit	n. 假设；设想
slant	v. 倾斜；斜射；使倾斜；有偏向地报道；有倾向；使倾向于
induction	n. [电磁] 感应；归纳法；感应现象；入门培训，入职仪式，就职；诱导
